time.Thu-16,time.Wed-15,time.Fri-0,time.Thu-23,time.Mon-17,time.Sun-11,time.Wed-11,time.Sat-10,time.Thu-13,time.Mon-2,time.Tue-7,time.Mon-19,time.Tue-4,time.Tue-2,time.Thu-0,time.Sat-6,time.Wed-3,time.Tue-23,time.Wed-22,time.Thu-17,time.Sat-23,time.Sat-4,time.Thu-14,time.Fri-15,time.Wed-5,time.Sat-0,time.Tue-13,time.Wed-20,time.Fri-16,time.Tue-18,time.Tue-17,time.Sat-9,time.Sat-3,time.Thu-7,time.Sun-21,time.Sat-16,time.Sat-19,time.Sat-5,time.Fri-10,time.Thu-21,time.Fri-5,time.Thu-8,time.Wed-19,time.Fri-4,time.Wed-18,time.Sun-3,time.Sun-16,time.Sun-1,time.Sun-17,time.Mon-1,time.Mon-7,time.Mon-22,time.Sat-1,time.Sun-0,time.Fri-8,time.Mon-13,time.Sat-15,time.Tue-1,time.Mon-23,time.Sat-7,time.Mon-15,time.Fri-12,time.Fri-11,time.Thu-22,time.Tue-3,time.Tue-5,time.Thu-18,time.Wed-1,business_id,time.Sun-4,time.Mon-0,time.Sat-22,time.Mon-16,time.Thu-20,time.Sun-6,time.Fri-18,time.Sat-18,time.Tue-15,time.Tue-19,time.Tue-20,time.Fri-7,time.Thu-9,time.Mon-12,time.Wed-23,time.Tue-6,time.Mon-21,time.Fri-6,time.Thu-6,time.Sun-13,time.Fri-20,time.Sun-8,time.Sun-12,time.Mon-8,time.Sun-23,time.Wed-16,time.Tue-8,time.Sun-9,time.Mon-4,time.Wed-9,time.Sat-2,time.Sat-12,time.Sun-2,time.Wed-17,time.Wed-6,time.Wed-7,time.Sat-8,time.Fri-1,time.Sat-11,time.Wed-21,time.Thu-3,time.Thu-11,time.Thu-2,time.Wed-10,time.Tue-9,time.Tue-12,time.Fri-3,time.Wed-13,time.Mon-20,time.Sun-20,time.Wed-4,time.Wed-0,time.Sun-10,time.Mon-9,time.Tue-10,time.Mon-18,time.Sun-19,time.Sun-15,time.Wed-8,time.Sat-14,time.Wed-14,time.Fri-19,time.Wed-12,time.Fri-2,time.Tue-14,time.Thu-12,time.Fri-9,time.Tue-11,time.Sat-21,time.Mon-6,time.Mon-11,time.Thu-1,time.Tue-22,time.Thu-10,time.Mon-10,time.Fri-23,time.Tue-16,time.Tue-21,time.Fri-17,time.Mon-3,time.Thu-4,time.Thu-15,time.Fri-22,time.Sun-22,time.Sun-5,time.Sat-13,time.Fri-13,time.Thu-19,time.Sat-20,time.Thu-5,time.Mon-14,time.Sun-7,time.Fri-21,time.Wed-2,time.Sat-17,time.Fri-14,time.Mon-5,time.Tue-0,time.Sun-14,time.Sun-18
1.0,,,3.0,,,,,,,,,,,,,,1.0,2.0,,3.0,1.0,,,,3.0,,,,,,,1.0,,1.0,1.0,3.0,,,1.0,,,,,,,,,2.0,2.0,,2.0,2.0,5.0,,,,,2.0,,1.0,,,1.0,,,,1.0,DGae0qGBtoE19egWaLYR4A,,,2.0,2.0,1.0,,,3.0,1.0,,,,,,,,,1.0,,,4.0,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,1.0,,1.0,2.0,,,,,,1.0,3.0,,,,,2.0,,,,,,,2.0,,,2.0,4.0,,,5.0,,,1.0,,,,4.0,1.0,,,,,1.0,,,,4.0,1.0,,,,1.0,,5.0
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,2.0,,,,,,,,,,1.0,,,,,,,,,,Ti4NZ-c4iOUtQbp_n__E-w,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lDXmdwB8PgnIhaKggN7Syw,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GaQGUxhMwBZmK3O5s6Ymjw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
,,,1.0,2.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,3.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,nuJbVf0KUcpMG3i3RtNd_A,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,3.0,,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,xbOyPMuuayOfYOkzohNSXA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frFf4EIhssarn8us5HwVkQ,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1.0,,,,,,,,1.0,,1.0,2.0,,,1.0,,1.0,,,,,,,,,5.0,4.0,,,,,,,,,,,,1.0,3.0,,,,1.0,1.0,,,,,1.0,,1.0,,,,,1.0,,1.0,e6UTwduDYz_h0U-TAX3dXQ,,1.0,,,1.0,,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,2.0,,,,,,1.0,,,1.0,,,,1.0,,,1.0,,,,,,1.0,,,2.0,1.0,1.0,,,,1.0,3.0,,,1.0,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,2.0,,,,,1.0,,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,1.0
1.0,1.0,,4.0,1.0,,,,,,,,,,1.0,1.0,,,1.0,2.0,,,,,,,,2.0,,1.0,,,,,1.0,,,,,,,,,,,,2.0,,2.0,,,2.0,,,,,,,1.0,,,,,4.0,,,1.0,,q9ugnXqUutldixx2zGUVag,,2.0,1.0,1.0,,,,,1.0,2.0,1.0,,,,4.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,1.0,,,,2.0,,,5.0,2.0,,,,,1.0,6.0,,,,,,,,,,3.0,,1.0,,,1.0,,1.0
,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,3.0,3BLCQLBwKU3glnfmTDjcdw,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,2.0,,
,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,2.0,,,,,2.0,1.0,,,,3.0,2.0,,,,,,,,,1.0,,-8PU0Z4Q2Nc-sY0eBj4DiQ,,,1.0,,,,,1.0,,,,,,,1.0,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,3.0,,1.0,,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,2.0,,,1.0,,,1.0,,,,3.0,,,2.0,,1.0,1.0,
3.0,1.0,14.0,5.0,3.0,,,,,7.0,2.0,8.0,5.0,12.0,11.0,,8.0,9.0,13.0,9.0,11.0,11.0,,2.0,,9.0,,12.0,6.0,5.0,6.0,,14.0,,17.0,,8.0,5.0,1.0,8.0,2.0,,7.0,7.0,8.0,16.0,1.0,16.0,8.0,12.0,,9.0,17.0,11.0,,,1.0,14.0,6.0,1.0,1.0,1.0,,5.0,7.0,2.0,9.0,6.0,oF2XS1nvcjnntEl7g8NltA,6.0,9.0,10.0,3.0,10.0,1.0,4.0,10.0,1.0,7.0,9.0,,,,15.0,,11.0,1.0,,,9.0,,,2.0,9.0,2.0,,,1.0,,12.0,1.0,14.0,9.0,1.0,1.0,,6.0,,10.0,13.0,,7.0,,,,14.0,,17.0,18.0,2.0,7.0,2.0,,,9.0,10.0,,,,,12.0,,12.0,,,,1.0,11.0,,,9.0,13.0,,,10.0,,10.0,7.0,6.0,5.0,,5.0,12.0,4.0,,1.0,16.0,22.0,2.0,,1.0,8.0,10.0,9.0,,1.0,7.0,,6.0
,,12.0,15.0,1.0,,,,,22.0,,3.0,,,17.0,,8.0,9.0,9.0,1.0,16.0,1.0,,,1.0,24.0,,19.0,,10.0,3.0,,8.0,1.0,32.0,,40.0,,,8.0,,,29.0,,17.0,12.0,,39.0,3.0,35.0,,,51.0,35.0,,,1.0,2.0,,1.0,,,,3.0,,,13.0,31.0,jIzygnVmajEXYmfsBNY_Gw,,22.0,23.0,1.0,21.0,,21.0,28.0,,32.0,25.0,,,,6.0,,,1.0,,1.0,20.0,,,,22.0,,,,2.0,,43.0,1.0,29.0,3.0,,,,21.0,,12.0,4.0,,27.0,,,,2.0,,3.0,31.0,1.0,17.0,,,,1.0,49.0,,,1.0,,21.0,,28.0,,,,,30.0,,,27.0,3.0,,,14.0,,13.0,,8.0,3.0,,17.0,23.0,,,,22.0,49.0,,,,12.0,18.0,3.0,,,1.0,,25.0
,2.0,1.0,1.0,3.0,,,,,,,1.0,,,3.0,,,1.0,,2.0,,,,,,3.0,,,1.0,2.0,,,,,2.0,1.0,2.0,,,1.0,,,1.0,,,,,2.0,1.0,,,4.0,,,,,,2.0,1.0,,,,,,,,1.0,1.0,QDCtlsSsBAmEzFs8E3V_aA,,3.0,1.0,4.0,,,3.0,3.0,,,3.0,,,,1.0,,1.0,,,,1.0,,,,1.0,2.0,,,,,,,1.0,3.0,,,,1.0,,1.0,,,,,,,,,1.0,2.0,,1.0,,,,1.0,,,,,,,,1.0,,,,,2.0,,,1.0,2.0,,,1.0,,2.0,3.0,,,,1.0,1.0,,,,1.0,2.0,,,,,2.0,1.0,,,2.0,,4.0
,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,fCdcxvZJjkwh7PbOOWUmJQ,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
,,20.0,14.0,1.0,,,,,23.0,,23.0,2.0,17.0,18.0,,7.0,16.0,4.0,,30.0,7.0,,,,24.0,,26.0,2.0,9.0,,,25.0,,1.0,2.0,1.0,,,15.0,,,25.0,1.0,11.0,32.0,3.0,72.0,1.0,38.0,1.0,6.0,45.0,55.0,,,1.0,23.0,15.0,1.0,,,,10.0,16.0,,9.0,34.0,PyrcymoNDAJDm_Zn9yl-7A,10.0,33.0,3.0,,26.0,,10.0,2.0,,33.0,29.0,,,,12.0,1.0,18.0,,,,31.0,,,,22.0,,1.0,,3.0,,58.0,,70.0,1.0,,,,32.0,,10.0,8.0,,22.0,,,1.0,9.0,,14.0,1.0,2.0,26.0,,,,13.0,2.0,,1.0,,1.0,42.0,,28.0,,,,,3.0,,,40.0,9.0,,,5.0,,17.0,,16.0,5.0,,13.0,3.0,1.0,,,25.0,4.0,1.0,,1.0,16.0,35.0,2.0,,,23.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y8jIaTI-bTIa9K4KzM8_Xw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,R-DCYO_bEIPskFvhNLfeAw,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,LhbnPmr6aZG9xGZJ3dCiug,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nKbuoq0Kqdv0tSLFJhwFVQ,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,
,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,2.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,1.0,pG_RQ81fzI16djPr8IbMwg,,,2.0,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,,,,,2.0,,,,,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,,,,,,1.0,,,,1.0
,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RKhasx1FzfmEiPRFkdRgfA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,cU_RxiJVwoWnKJ65Nmoqhw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,P6f8Lx9GNFds2pvJ7ITytQ,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,kqbejhh7VmxuQkIb_EynuQ,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,
,,,2.0,2.0,,,,,,,1.0,,,,,,3.0,1.0,,,,,,1.0,1.0,,1.0,,,,,1.0,,3.0,,,,,,1.0,,1.0,1.0,,,,,,1.0,,1.0,1.0,,,2.0,2.0,1.0,1.0,,1.0,,,,,1.0,,2.0,PJbwMeZctljcMfxVo2Qacw,,1.0,,2.0,1.0,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,2.0,,,,,,,1.0,,2.0,1.0,,2.0,,,,,,,,1.0,2.0,,1.0,,1.0,,,1.0,1.0,,,,1.0,,,2.0,,2.0,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,3.0,1.0,2.0,1.0,1.0,,,
,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,Q-TjSg3lztpLAI7lsh2LOw,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smmLyq8f_YaxXPwZYriBvg,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,1.0,,,2.0,,,,1.0,1.0,2.0,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,2.0,,,,,2.0,,1.0,,,,,,1.0,,,,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,,4JT8hmfMZCpAnk26CdbTSg,,,1.0,,3.0,,,2.0,,1.0,,,,,1.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,,1.0,2.0,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,2.0
,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,2.0,,,,,,,,1.0,,,,2.0,,,,,q0WvnIBJnyDz-2MjSpZWlQ,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,1.0,3.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,,,,,,
,,,1.0,,,,,,3.0,,1.0,,,1.0,,,1.0,,,2.0,,,,,3.0,,1.0,,2.0,,,3.0,,4.0,3.0,1.0,,,1.0,,,1.0,,,1.0,,2.0,2.0,2.0,,3.0,1.0,3.0,,,,,2.0,,,,,,2.0,,,3.0,GC3sJ_gyPTUHyOrPQQTwTw,,2.0,,1.0,,,1.0,3.0,,1.0,3.0,,,,1.0,,1.0,,,,2.0,,,,,,,,1.0,,2.0,,,1.0,,,,1.0,,,1.0,,,,,,1.0,,2.0,5.0,,2.0,,,,1.0,3.0,4.0,,1.0,,1.0,,2.0,,,,,2.0,,,1.0,,,,2.0,,1.0,,1.0,1.0,,,3.0,,,,1.0,,,,,1.0,3.0,2.0,,,1.0,,2.0
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hCxM2MH3cDaqozUDpydXZg,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0
,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OZL2XvGi5aXoX6Oynw7sJw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,,1.0,,,,1.0,,,1.0,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,oqGdBzlnsWqRaOKR5NF3Og,1.0,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0
,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,O0T7V0MP9HLaLxLzaKFPgA,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.0,,,,1.0,,3.0,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,-AeZXaqxrLxxXEVH9KmK-g,,,1.0,,,,,2.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,2.0,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,HlFF38VtLdf47oiBbHhtrA,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
